league_name,season_year,team_canonical,mean_attendance,max_attendance,average_occupancy
2bundesliga,2010,spvgggreutherfurth,7775.29,14530,0.54
2bundesliga,2010,tsv1860munique,19541.18,29200,0.67
2bundesliga,2010,vflbochum,15030.24,27448,0.55
2bundesliga,2010,vflosnabruck,13319.41,16200,0.82
2bundesliga,2011,1fcunionberlim,16159.71,18432,0.88
2bundesliga,2011,alemanniaaachen,18533.06,31180,0.59
2bundesliga,2011,eintrachtbraunschweigtsv,21320.71,23510,0.91
2bundesliga,2011,fcenergiecottbus,11201.00,20049,0.56
2bundesliga,2011,fcerzgebirgeaue,9384.12,15000,0.63
2bundesliga,2011,fchansarostock,14929.41,24300,0.61
2bundesliga,2011,fcingolstadt04,7478.29,13850,0.54
2bundesliga,2011,fcstpauli,23220.29,24487,0.95
2bundesliga,2011,fortunadusseldorf95,32035.53,51000,0.63
2bundesliga,2011,fsvfrankfurt,7891.29,50250,0.16
2bundesliga,2011,karlsruhersc,15342.65,26780,0.57
2bundesliga,2011,msvduisburg,13461.12,23117,0.58
2bundesliga,2011,scpaderborn07,10201.00,15001,0.68
2bundesliga,2011,sgdynamodresden,26111.41,29323,0.89
2bundesliga,2011,sgeintrachtfrankfurt,37335.29,50800,0.73
2bundesliga,2011,spvgggreutherfurth,10910.29,15500,0.70
2bundesliga,2011,tsv1860munique,22627.06,35000,0.65
2bundesliga,2011,vflbochum,13801.88,22913,0.60
2bundesliga,2012,1fccolonia,40773.88,49500,0.82
2bundesliga,2012,1fckaiserslautern,31720.35,49780,0.64
2bundesliga,2012,1fcunionberlim,17102.24,21410,0.80
2bundesliga,2012,eintrachtbraunschweigtsv,20571.18,22630,0.91
2bundesliga,2012,fcenergiecottbus,10405.59,20500,0.51
2bundesliga,2012,fcerzgebirgeaue,8685.29,14150,0.61
2bundesliga,2012,fcingolstadt04,7334.65,14319,0.51
2bundesliga,2012,fcstpauli,24201.24,29063,0.83
2bundesliga,2012,fsvfrankfurt,5354.12,10470,0.51
2bundesliga,2012,herthaberlim,40020.76,74244,0.54
2bundesliga,2012,jahnregensburg,7434.12,12500,0.59
2bundesliga,2012,msvduisburg,12875.53,27000,0.48
2bundesliga,2012,scpaderborn07,8821.47,15000,0.59
2bundesliga,2012,sgdynamodresden,24961.29,29703,0.84
2bundesliga,2012,svsandhausen,5155.88,12100,0.43
2bundesliga,2012,tsv1860munique,23323.53,45300,0.51
2bundesliga,2012,vflbochum,14515.71,28400,0.51
2bundesliga,2012,vfraalen,7703.35,12038,0.64
2bundesliga,2013,1fccolonia,46283.41,50000,0.93
2bundesliga,2013,1fckaiserslautern,29702.88,45293,0.66
2bundesliga,2013,1fcunionberlim,19889.00,21717,0.92
2bundesliga,2013,arminiabielefeld,16921.65,26500,0.64
2bundesliga,2013,fcenergiecottbus,9686.24,18500,0.52
2bundesliga,2013,fcerzgebirgeaue,9447.06,15000,0.63
2bundesliga,2013,fcingolstadt04,6785.47,13734,0.49
2bundesliga,2013,fcstpauli,28369.35,29063,0.98
2bundesliga,2013,fortunadusseldorf95,33984.24,52500,0.65
2bundesliga,2013,fsvfrankfurt,6287.53,12542,0.50
2bundesliga,2013,karlsruhersc,16218.76,27600,0.59
2bundesliga,2013,scpaderborn07,10996.41,15000,0.73
2bundesliga,2013,sgdynamodresden,26943.24,30084,0.90
2bundesliga,2013,spvgggreutherfurth,11926.47,16165,0.74
2bundesliga,2013,svsandhausen,5569.71,10600,0.53
2bundesliga,2013,tsv1860munique,19311.76,33600,0.57
2bundesliga,2013,vflbochum,16167.82,27555,0.59
2bundesliga,2013,vfraalen,7387.35,10500,0.70
2bundesliga,2014,1fcheidenheim1846,12600.00,15000,0.84
2bundesliga,2014,1fckaiserslautern,32996.47,49780,0.66
2bundesliga,2014,1fcnuremberg,30784.41,47501,0.65
2bundesliga,2014,1fcunionberlim,19129.06,21717,0.88
2bundesliga,2014,eintrachtbraunschweigtsv,21710.29,23325,0.93
2bundesliga,2014,fcerzgebirgeaue,9111.76,15300,0.60
2bundesliga,2014,fcingolstadt04,9968.76,15000,0.66
2bundesliga,2014,fcstpauli,24614.65,29063,0.85
2bundesliga,2014,fortunadusseldorf95,30013.00,41667,0.72
2bundesliga,2014,fsvfrankfurt,6630.59,12542,0.53
2bundesliga,2014,karlsruhersc,17381.00,27771,0.63
2bundesliga,2014,rbleipzig,25025.71,38660,0.65
2bundesliga,2014,spvgggreutherfurth,11777.06,17500,0.67
2bundesliga,2014,svdarmstadt98,14155.88,16500,0.86
2bundesliga,2014,svsandhausen,5902.82,12126,0.49
2bundesliga,2014,tsv1860munique,21917.65,68500,0.32
2bundesliga,2014,vflbochum,16886.82,25092,0.67
2bundesliga,2014,vfraalen,7544.94,14500,0.52
2bundesliga,2015,1fcheidenheim1846,12819.82,14800,0.87
2bundesliga,2015,1fckaiserslautern,25872.24,33036,0.78
2bundesliga,2015,1fcnuremberg,30723.65,50000,0.61
2bundesliga,2015,1fcunionberlim,19754.06,22012,0.90
2bundesliga,2015,arminiabielefeld,17534.41,25064,0.70
2bundesliga,2015,eintrachtbraunschweigtsv,21184.41,23050,0.92
2bundesliga,2015,fcstpauli,29355.47,29563,0.99
