league_name,season_year,canonical_name,other_name,precision_score,is_confident_match
campeonatobrasileiroserieb,2021,londrinaec,londrina,89,True
campeonatobrasileiroserieb,2021,nautico,nautico,100,True
campeonatobrasileiroserieb,2021,operariofec,operariopr,76,True
campeonatobrasileiroserieb,2021,sampaiocorreafc,sampaiocorrea,93,True
campeonatobrasileiroserieb,2021,vilanovafc,vilanova,89,True
campeonatobrasileiroserieb,2022,aapontepreta,pontepreta,91,True
campeonatobrasileiroserieb,2022,brusquefc,brusque,88,True
campeonatobrasileiroserieb,2022,chapecoense,chapecoense,100,True
campeonatobrasileiroserieb,2022,crb,crb,100,True
campeonatobrasileiroserieb,2022,criciumaec,criciuma,89,True
campeonatobrasileiroserieb,2022,cruzeiroec,cruzeiro,89,True
campeonatobrasileiroserieb,2022,crvascodagama,vascodagama,92,True
campeonatobrasileiroserieb,2022,csa,csa,100,True
campeonatobrasileiroserieb,2022,ecbahia,bahia,83,True
campeonatobrasileiroserieb,2022,gremiofbpa,gremio,75,True
campeonatobrasileiroserieb,2022,gremionovorizontino,novorizontino,81,True
campeonatobrasileiroserieb,2022,guaranifc,guarani,88,True
campeonatobrasileiroserieb,2022,ituanofc,ituano,86,True
campeonatobrasileiroserieb,2022,londrinaec,londrina,89,True
campeonatobrasileiroserieb,2022,nautico,nautico,100,True
campeonatobrasileiroserieb,2022,operariofec,operariopr,76,True
campeonatobrasileiroserieb,2022,sampaiocorreafc,sampaiocorrea,93,True
campeonatobrasileiroserieb,2022,sportrecife,sport,62,False
campeonatobrasileiroserieb,2022,tombensefc,tombense,89,True
campeonatobrasileiroserieb,2022,vilanovafc,vilanova,89,True
campeonatobrasileiroserieb,2023,atleticogoianiense,atleticogo,101,True
campeonatobrasileiroserieb,2023,aapontepreta,pontepreta,91,True
campeonatobrasileiroserieb,2023,abcfc,abc,75,True
campeonatobrasileiroserieb,2023,avaifc,avai,80,True
campeonatobrasileiroserieb,2023,botafogofc,botafogosp,80,True
campeonatobrasileiroserieb,2023,cearasc,ceara,83,True
campeonatobrasileiroserieb,2023,chapecoense,chapecoense,100,True
campeonatobrasileiroserieb,2023,crb,crb,100,True
campeonatobrasileiroserieb,2023,criciumaec,criciuma,89,True
campeonatobrasileiroserieb,2023,ecjuventude,juventude,90,True
campeonatobrasileiroserieb,2023,ecvitoria,vitoria,88,True
campeonatobrasileiroserieb,2023,gremionovorizontino,novorizontino,81,True
campeonatobrasileiroserieb,2023,guaranifc,guarani,88,True
campeonatobrasileiroserieb,2023,ituanofc,ituano,86,True
campeonatobrasileiroserieb,2023,londrinaec,londrina,89,True
campeonatobrasileiroserieb,2023,mirassolfc,mirassol,89,True
campeonatobrasileiroserieb,2023,sampaiocorreafc,sampaiocorrea,93,True
campeonatobrasileiroserieb,2023,sportrecife,sport,62,False
campeonatobrasileiroserieb,2023,tombensefc,tombense,89,True
campeonatobrasileiroserieb,2023,vilanovafc,vilanova,89,True
campeonatobrasileiroserieb,2024,aapontepreta,pontepreta,91,True
campeonatobrasileiroserieb,2024,amazonasfc,amazonas,89,True
campeonatobrasileiroserieb,2024,americamineiro,americamg,70,True
campeonatobrasileiroserieb,2024,avaifc,avai,80,True
campeonatobrasileiroserieb,2024,botafogofc,botafogosp,80,True
campeonatobrasileiroserieb,2024,brusquefc,brusque,88,True
campeonatobrasileiroserieb,2024,cearasc,ceara,83,True
campeonatobrasileiroserieb,2024,chapecoense,chapecoense,100,True
campeonatobrasileiroserieb,2024,coritibafc,coritiba,89,True
campeonatobrasileiroserieb,2024,crb,crb,100,True
campeonatobrasileiroserieb,2024,goiasec,goias,83,True
campeonatobrasileiroserieb,2024,gremionovorizontino,novorizontino,81,True
campeonatobrasileiroserieb,2024,guaranifc,guarani,88,True
campeonatobrasileiroserieb,2024,ituanofc,ituano,86,True
campeonatobrasileiroserieb,2024,mirassolfc,mirassol,89,True
campeonatobrasileiroserieb,2024,operariofec,operariopr,76,True
campeonatobrasileiroserieb,2024,paysandusc,paysandu,89,True
campeonatobrasileiroserieb,2024,santosfc,santos,86,True
campeonatobrasileiroserieb,2024,sportrecife,sport,62,False
campeonatobrasileiroserieb,2024,vilanovafc,vilanova,89,True
challengerproleague,2006,afctubize,afctubize,100,True
challengerproleague,2006,fcvdendereh,fcvdendereh,100,True
challengerproleague,2006,kaseupen,kaseupen,100,True
challengerproleague,2006,kfcdesselsport,desselsport,88,True
challengerproleague,2006,kfcvwhamme,vwhamme,82,True
challengerproleague,2006,kmskdeinze2024,kmskdeinze,83,True
challengerproleague,2006,koverpeltlommelunited,overpeltlommel,80,True
challengerproleague,2006,krcwaregem,krcwaregem,100,True
challengerproleague,2006,kskronse2022,kskronse,80,True
challengerproleague,2006,kvkortrijk,kvkortrijk,100,True
challengerproleague,2006,kvktienen,kvktienen,100,True
challengerproleague,2006,kvmechelen,kvmechelen,100,True
challengerproleague,2006,kvoostende2024,kvoostende,83,True
challengerproleague,2006,kvredstarwaasland,rswaasland,74,True
challengerproleague,2006,oudheverleeleuven,ohleuven,64,False
challengerproleague,2006,royalantuerpiafc,antuerpia,72,True
challengerproleague,2006,royalexcelsiorvirton,revirton,57,False
challengerproleague,2006,unionsaintgilloise,unionsg,56,False
challengerproleague,2007,afctubize,afctubize,100,True
challengerproleague,2007,kaseupen,kaseupen,100,True
challengerproleague,2007,kfcverbroederinggeel2008,kfcvgeel,50,False
challengerproleague,2007,kfcvwhamme,vwhamme,82,True
challengerproleague,2007,kmskdeinze2024,kmskdeinze,83,True
challengerproleague,2007,koverpeltlommelunited,overpeltlommel,80,True
challengerproleague,2007,kskbeveren2010,kskbeveren,83,True
challengerproleague,2007,kvkortrijk,kvkortrijk,100,True
challengerproleague,2007,kvktienen,kvktienen,100,True
challengerproleague,2007,kvoostende2024,kvoostende,83,True
challengerproleague,2007,kvredstarwaasland,rswaasland,74,True
challengerproleague,2007,liersesk2018,liersesk,80,True
challengerproleague,2007,oudheverleeleuven,ohleuven,64,False
challengerproleague,2007,rfctournai,rfctournai,100,True
challengerproleague,2007,roccharleroimarchienne,roccharleroim,74,True
challengerproleague,2007,royalantuerpiafc,antuerpia,72,True
challengerproleague,2007,royalexcelsiorvirton,revirton,57,False
challengerproleague,2007,unionsaintgilloise,unionsg,56,False
challengerproleague,2007,urnamur,urnamur,100,True
challengerproleague,2008,fcbrussel,fcbrussel,100,True
challengerproleague,2008,kaseupen,kaseupen,100,True
challengerproleague,2008,kfcvwhamme,vwhamme,82,True
challengerproleague,2008,kmskdeinze2024,kmskdeinze,83,True
challengerproleague,2008,koverpeltlommelunited,overpeltlommel,80,True
challengerproleague,2008,kskbeveren2010,kskbeveren,83,True
challengerproleague,2008,kskronse2022,kskronse,80,True
challengerproleague,2008,kvktienen,kvktienen,100,True
challengerproleague,2008,kvoostende2024,kvoostende,83,True
challengerproleague,2008,kvredstarwaasland,rswaasland,74,True
challengerproleague,2008,liersesk2018,liersesk,80,True
challengerproleague,2008,oudheverleeleuven,ohleuven,64,False
challengerproleague,2008,rfcluttich,rfcluttich,100,True
challengerproleague,2008,rfctournai,rfctournai,100,True
challengerproleague,2008,roccharleroimarchienne,roccharleroim,74,True
challengerproleague,2008,royalantuerpiafc,antuerpia,72,True
challengerproleague,2008,royalexcelsiorvirton,revirton,57,False
challengerproleague,2008,urnamur,urnamur,100,True
challengerproleague,2008,vvsttruiden,sttruiden,90,True
challengerproleague,2009,afctubize,afctubize,100,True
challengerproleague,2009,fcbrussel,fcbrussel,100,True
challengerproleague,2009,fcvdendereh,fcvdendereh,100,True
challengerproleague,2009,kaseupen,kaseupen,100,True
challengerproleague,2009,koverpeltlommelunited,overpeltlommel,80,True
challengerproleague,2009,kskbeveren2010,kskbeveren,83,True
challengerproleague,2009,kskronse2022,kskronse,80,True
challengerproleague,2009,kvktienen,kvktienen,100,True
challengerproleague,2009,kvoostende2024,kvoostende,83,True
challengerproleague,2009,kvredstarwaasland,rswaasland,74,True
challengerproleague,2009,kvturnhout,kvturnhout,100,True
challengerproleague,2009,liersesk2018,liersesk,80,True
challengerproleague,2009,oudheverleeleuven,ohleuven,64,False
challengerproleague,2009,raecmons2015,raecmons,80,True
challengerproleague,2009,rfcluttich,rfcluttich,100,True
challengerproleague,2009,rfctournai,rfctournai,100,True
challengerproleague,2009,royalantuerpiafc,antuerpia,72,True
challengerproleague,2009,royalboussudourborinage,boussudour,61,False
challengerproleague,2009,standaardwetteren2015,wetteren,55,False
challengerproleague,2010,afctubize,afctubize,100,True
challengerproleague,2010,csvise2015,csvise,75,True
challengerproleague,2010,fcbrussel,fcbrussel,100,True
challengerproleague,2010,fcrupelboom,rupelboom,90,True
challengerproleague,2010,fcvdendereh,fcvdendereh,100,True
challengerproleague,2010,kskheist,kskheist,100,True
challengerproleague,2010,ksvroeselare2020,ksvroeselare,86,True
challengerproleague,2010,kvktienen,kvktienen,100,True
challengerproleague,2010,kvoostende2024,kvoostende,83,True
challengerproleague,2010,kvrswaaslandskbeveren,waaslandbeveren,83,True
challengerproleague,2010,kvturnhout,kvturnhout,100,True
challengerproleague,2010,lommelunited,lommelunited,100,True
challengerproleague,2010,oudheverleeleuven,ohleuven,64,False
challengerproleague,2010,raecmons2015,raecmons,80,True
challengerproleague,2010,rfctournai,rfctournai,100,True
challengerproleague,2010,royalantuerpiafc,antuerpia,72,True
challengerproleague,2010,royalboussudourborinage,boussudour,61,False
challengerproleague,2010,standaardwetteren2015,wetteren,55,False
challengerproleague,2011,afctubize,afctubize,100,True
challengerproleague,2011,csvise2015,csvise,75,True
challengerproleague,2011,fcbrussel,fcbrussel,100,True
challengerproleague,2011,fcvdendereh,fcvdendereh,100,True
challengerproleague,2011,kaseupen,kaseupen,100,True
challengerproleague,2011,kskheist,kskheist,100,True
challengerproleague,2011,ksvroeselare2020,ksvroeselare,86,True
challengerproleague,2011,kvktienen,kvktienen,100,True
challengerproleague,2011,kvoostende2024,kvoostende,83,True
challengerproleague,2011,kvrswaaslandskbeveren,waaslandbeveren,83,True
challengerproleague,2011,lommelunited,lommelunited,100,True
challengerproleague,2011,rcharleroisc,rcharleroisc,100,True
challengerproleague,2011,royalantuerpiafc,antuerpia,72,True
challengerproleague,2011,royalboussudourborinage,boussudour,61,False
challengerproleague,2011,sksintniklaas,sksintniklaas,100,True
challengerproleague,2011,standaardwetteren2015,wetteren,55,False
